FIPS,FIPS_names,FIPS_no_general_names
48001,Anderson County,Anderson
48003,Andrews County,Andrews
48005,Angelina County,Angelina
48007,Aransas County,Aransas
48009,Archer County,Archer
48011,Armstrong County,Armstrong
48013,Atascosa County,Atascosa
48015,Austin County,Austin
48017,Bailey County,Bailey
48019,Bandera County,Bandera
48021,Bastrop County,Bastrop
48023,Baylor County,Baylor
48025,Bee County,Bee
48027,Bell County,Bell
48029,Bexar County,Bexar
48031,Blanco County,Blanco
48033,Borden County,Borden
48035,Bosque County,Bosque
48037,Bowie County,Bowie
48039,Brazoria County,Brazoria
48041,Brazos County,Brazos
48043,Brewster County,Brewster
48045,Briscoe County,Briscoe
48047,Brooks County,Brooks
48049,Brown County,Brown
48051,Burleson County,Burleson
48053,Burnet County,Burnet
48055,Caldwell County,Caldwell
48057,Calhoun County,Calhoun
48059,Callahan County,Callahan
48061,Cameron County,Cameron
48063,Camp County,Camp
48065,Carson County,Carson
48067,Cass County,Cass
48069,Castro County,Castro
48071,Chambers County,Chambers
48073,Cherokee County,Cherokee
48075,Childress County,Childress
48077,Clay County,Clay
48079,Cochran County,Cochran
48081,Coke County,Coke
48083,Coleman County,Coleman
48085,Collin County,Collin
48087,Collingsworth County,Collingsworth
48089,Colorado County,Colorado
48091,Comal County,Comal
48093,Comanche County,Comanche
48095,Concho County,Concho
48097,Cooke County,Cooke
48099,Coryell County,Coryell
48101,Cottle County,Cottle
48103,Crane County,Crane
48105,Crockett County,Crockett
48107,Crosby County,Crosby
48109,Culberson County,Culberson
48111,Dallam County,Dallam
48113,Dallas County,Dallas
48115,Dawson County,Dawson
48117,Deaf Smith County,Deaf Smith
48119,Delta County,Delta
48121,Denton County,Denton
48123,DeWitt County,DeWitt
48125,Dickens County,Dickens
48127,Dimmit County,Dimmit
48129,Donley County,Donley
48131,Duval County,Duval
48133,Eastland County,Eastland
48135,Ector County,Ector
48137,Edwards County,Edwards
48139,Ellis County,Ellis
48141,El Paso County,El Paso
48143,Erath County,Erath
48145,Falls County,Falls
48147,Fannin County,Fannin
48149,Fayette County,Fayette
48151,Fisher County,Fisher
48153,Floyd County,Floyd
48155,Foard County,Foard
48157,Fort Bend County,Fort Bend
48159,Franklin County,Franklin
48161,Freestone County,Freestone
48163,Frio County,Frio
48165,Gaines County,Gaines
48167,Galveston County,Galveston
48169,Garza County,Garza
48171,Gillespie County,Gillespie
48173,Glasscock County,Glasscock
48175,Goliad County,Goliad
48177,Gonzales County,Gonzales
48179,Gray County,Gray
48181,Grayson County,Grayson
48183,Gregg County,Gregg
48185,Grimes County,Grimes
48187,Guadalupe County,Guadalupe
48189,Hale County,Hale
48191,Hall County,Hall
48193,Hamilton County,Hamilton
48195,Hansford County,Hansford
48197,Hardeman County,Hardeman
48199,Hardin County,Hardin
48201,Harris County,Harris
48203,Harrison County,Harrison
48205,Hartley County,Hartley
48207,Haskell County,Haskell
48209,Hays County,Hays
48211,Hemphill County,Hemphill
48213,Henderson County,Henderson
48215,Hidalgo County,Hidalgo
48217,Hill County,Hill
48219,Hockley County,Hockley
48221,Hood County,Hood
48223,Hopkins County,Hopkins
48225,Houston County,Houston
48227,Howard County,Howard
48229,Hudspeth County,Hudspeth
48231,Hunt County,Hunt
48233,Hutchinson County,Hutchinson
48235,Irion County,Irion
48237,Jack County,Jack
48239,Jackson County,Jackson
48241,Jasper County,Jasper
48243,Jeff Davis County,Jeff Davis
48245,Jefferson County,Jefferson
48247,Jim Hogg County,Jim Hogg
48249,Jim Wells County,Jim Wells
48251,Johnson County,Johnson
48253,Jones County,Jones
48255,Karnes County,Karnes
48257,Kaufman County,Kaufman
48259,Kendall County,Kendall
48261,Kenedy County,Kenedy
48263,Kent County,Kent
48265,Kerr County,Kerr
48267,Kimble County,Kimble
48269,King County,King
48271,Kinney County,Kinney
48273,Kleberg County,Kleberg
48275,Knox County,Knox
48277,Lamar County,Lamar
48279,Lamb County,Lamb
48281,Lampasas County,Lampasas
48283,La Salle County,La Salle
48285,Lavaca County,Lavaca
48287,Lee County,Lee
48289,Leon County,Leon
48291,Liberty County,Liberty
48293,Limestone County,Limestone
48295,Lipscomb County,Lipscomb
48297,Live Oak County,Live Oak
48299,Llano County,Llano
48301,Loving County,Loving
48303,Lubbock County,Lubbock
48305,Lynn County,Lynn
48307,McCulloch County,McCulloch
48309,McLennan County,McLennan
48311,McMullen County,McMullen
48313,Madison County,Madison
48315,Marion County,Marion
48317,Martin County,Martin
48319,Mason County,Mason
48321,Matagorda County,Matagorda
48323,Maverick County,Maverick
48325,Medina County,Medina
48327,Menard County,Menard
48329,Midland County,Midland
48331,Milam County,Milam
48333,Mills County,Mills
48335,Mitchell County,Mitchell
48337,Montague County,Montague
48339,Montgomery County,Montgomery
48341,Moore County,Moore
48343,Morris County,Morris
48345,Motley County,Motley
48347,Nacogdoches County,Nacogdoches
48349,Navarro County,Navarro
48351,Newton County,Newton
48353,Nolan County,Nolan
48355,Nueces County,Nueces
48357,Ochiltree County,Ochiltree
48359,Oldham County,Oldham
48361,Orange County,Orange
48363,Palo Pinto County,Palo Pinto
48365,Panola County,Panola
48367,Parker County,Parker
48369,Parmer County,Parmer
48371,Pecos County,Pecos
48373,Polk County,Polk
48375,Potter County,Potter
48377,Presidio County,Presidio
48379,Rains County,Rains
48381,Randall County,Randall
48383,Reagan County,Reagan
48385,Real County,Real
48387,Red River County,Red River
48389,Reeves County,Reeves
48391,Refugio County,Refugio
48393,Roberts County,Roberts
48395,Robertson County,Robertson
48397,Rockwall County,Rockwall
48399,Runnels County,Runnels
48401,Rusk County,Rusk
48403,Sabine County,Sabine
48405,San Augustine County,San Augustine
48407,San Jacinto County,San Jacinto
48409,San Patricio County,San Patricio
48411,San Saba County,San Saba
48413,Schleicher County,Schleicher
48415,Scurry County,Scurry
48417,Shackelford County,Shackelford
48419,Shelby County,Shelby
48421,Sherman County,Sherman
48423,Smith County,Smith
48425,Somervell County,Somervell
48427,Starr County,Starr
48429,Stephens County,Stephens
48431,Sterling County,Sterling
48433,Stonewall County,Stonewall
48435,Sutton County,Sutton
48437,Swisher County,Swisher
48439,Tarrant County,Tarrant
48441,Taylor County,Taylor
48443,Terrell County,Terrell
48445,Terry County,Terry
48447,Throckmorton County,Throckmorton
48449,Titus County,Titus
48451,Tom Green County,Tom Green
48453,Travis County,Travis
48455,Trinity County,Trinity
48457,Tyler County,Tyler
48459,Upshur County,Upshur
48461,Upton County,Upton
48463,Uvalde County,Uvalde
48465,Val Verde County,Val Verde
48467,Van Zandt County,Van Zandt
48469,Victoria County,Victoria
48471,Walker County,Walker
48473,Waller County,Waller
48475,Ward County,Ward
48477,Washington County,Washington
48479,Webb County,Webb
48481,Wharton County,Wharton
48483,Wheeler County,Wheeler
48485,Wichita County,Wichita
48487,Wilbarger County,Wilbarger
48489,Willacy County,Willacy
48491,Williamson County,Williamson
48493,Wilson County,Wilson
48495,Winkler County,Winkler
48497,Wise County,Wise
48499,Wood County,Wood
48501,Yoakum County,Yoakum
48503,Young County,Young
48505,Zapata County,Zapata
48507,Zavala County,Zavala
